RegionID,RegionName,PopRank,tier,Date,Mortgage/Income ratio
394355,"Austin, TX",34,Upper Tier,1999-12-31,
394358,"Baltimore, MD",20,Bottom Tier,1999-12-31,0.250316963717876
394358,"Baltimore, MD",20,Middle Tier,1999-12-31,0.173118103452478
394358,"Baltimore, MD",20,Upper Tier,1999-12-31,0.148417940379015
394388,"Birmingham, AL",48,Bottom Tier,1999-12-31,0.249020036953397
394388,"Birmingham, AL",48,Middle Tier,1999-12-31,0.17981533499738
394388,"Birmingham, AL",48,Upper Tier,1999-12-31,0.146670147953835
394404,"Boston, MA",10,Bottom Tier,1999-12-31,0.477868221947657
394404,"Boston, MA",10,Middle Tier,1999-12-31,0.259469562186312
394404,"Boston, MA",10,Upper Tier,1999-12-31,0.208019168084538
394425,"Buffalo, NY",46,Bottom Tier,1999-12-31,
394425,"Buffalo, NY",46,Upper Tier,1999-12-31,
394458,"Charlotte, NC",24,Bottom Tier,1999-12-31,0.254541809368892
394458,"Charlotte, NC",24,Middle Tier,1999-12-31,0.184675911710727
394458,"Charlotte, NC",24,Upper Tier,1999-12-31,0.157525656879888
394463,"Chicago, IL",3,Bottom Tier,1999-12-31,0.357560755397296
394463,"Chicago, IL",3,Middle Tier,1999-12-31,0.210613915808764
394463,"Chicago, IL",3,Upper Tier,1999-12-31,0.170632960788822
394466,"Cincinnati, OH",28,Bottom Tier,1999-12-31,0.295278456493709
394466,"Cincinnati, OH",28,Middle Tier,1999-12-31,0.17995179812617
394466,"Cincinnati, OH",28,Upper Tier,1999-12-31,0.144853148796746
394475,"Cleveland, OH",29,Bottom Tier,1999-12-31,0.328782265879703
394475,"Cleveland, OH",29,Middle Tier,1999-12-31,0.196865357284745
394475,"Cleveland, OH",29,Upper Tier,1999-12-31,0.153526742464849
394492,"Columbus, OH",31,Bottom Tier,1999-12-31,0.267204355990107
394492,"Columbus, OH",31,Middle Tier,1999-12-31,0.183999343353318
394492,"Columbus, OH",31,Upper Tier,1999-12-31,0.14821637398321
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,1999-12-31,0.231717418972189
394514,"Dallas-Fort Worth, TX",4,Middle Tier,1999-12-31,0.162731100109818
394514,"Dallas-Fort Worth, TX",4,Upper Tier,1999-12-31,0.133637657889715
394530,"Denver, CO",21,Bottom Tier,1999-12-31,0.39092055683343
394530,"Denver, CO",21,Middle Tier,1999-12-31,0.234949457620552
394530,"Denver, CO",21,Upper Tier,1999-12-31,0.187391137739672
394532,"Detroit, MI",12,Bottom Tier,1999-12-31,0.261812410448363
394532,"Detroit, MI",12,Middle Tier,1999-12-31,0.17939218156605
394532,"Detroit, MI",12,Upper Tier,1999-12-31,0.151749709095941
394669,"Hartford, CT",43,Bottom Tier,1999-12-31,0.311181884484683
394669,"Hartford, CT",43,Middle Tier,1999-12-31,0.185728998594658
394669,"Hartford, CT",43,Upper Tier,1999-12-31,0.143304930044312
394692,"Houston, TX",6,Bottom Tier,1999-12-31,
394692,"Houston, TX",6,Middle Tier,1999-12-31,
394692,"Houston, TX",6,Upper Tier,1999-12-31,
394714,"Jacksonville, FL",39,Bottom Tier,1999-12-31,0.243618753083353
394714,"Jacksonville, FL",39,Middle Tier,1999-12-31,0.164461451413577
394714,"Jacksonville, FL",39,Upper Tier,1999-12-31,0.142512574766499
394775,"Las Vegas, NV",30,Bottom Tier,1999-12-31,0.33852035114423
394775,"Las Vegas, NV",30,Middle Tier,1999-12-31,0.210234536969165
394775,"Las Vegas, NV",30,Upper Tier,1999-12-31,0.159190447579305
394807,"Louisville-Jefferson County, KY",42,Bottom Tier,1999-12-31,0.278163620928891
394807,"Louisville-Jefferson County, KY",42,Middle Tier,1999-12-31,0.170175369878857
394807,"Louisville-Jefferson County, KY",42,Upper Tier,1999-12-31,0.150315698358426
394849,"Memphis, TN",40,Bottom Tier,1999-12-31,0.266736588068694
394849,"Memphis, TN",40,Middle Tier,1999-12-31,
394849,"Memphis, TN",40,Upper Tier,1999-12-31,0.145267172735367
394856,"Miami-Fort Lauderdale, FL",8,Bottom Tier,1999-12-31,0.28520960548356
